# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	3577	FRMD8	1	5.203609e-11	9.652174e-7	9.652174e-7	1.834177e+1	5.997239e-1	11	4.839605e-5	8.876695e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	FRMD8
Ensembl Genes	3579	SCYL1	2	4.268628e-10	7.917878e-6	3.958939e-6	1.497981e+1	7.343215e-1	11	5.925771e-5	8.876695e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	SCYL1
Ensembl Genes	5140	SETD1B	3	1.075832e-8	1.995561e-4	6.651869e-5	2.758367e+1	2.537733e-1	7	2.047880e-5	5.648806e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1,E1,E1	SETD1B
Ensembl Genes	3891	CASP1	4	1.313721e-8	2.436821e-4	6.092053e-5	7.150026e+1	6.992982e-2	5	5.643142e-6	4.034861e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1	CASP1
Ensembl Genes	1103	POLR3GL	5	1.720727e-8	3.191777e-4	6.383553e-5	3.857061e+1	1.555589e-1	6	1.255317e-5	4.841833e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1,E1	POLR3GL
Ensembl Genes	16140	HIST1H2AK	6	3.081184e-8	5.715288e-4	9.525480e-5	1.355860e+2	2.950157e-2	4	2.380695e-6	3.227889e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1	HIST1H2AK
Ensembl Genes	9605	JUNB	7	4.100349e-8	7.605737e-4	1.086534e-4	5.677196e+1	8.807164e-2	5	7.107137e-6	4.034861e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1	JUNB
Ensembl Genes	9248	CIRBP	8	4.239268e-8	7.863418e-4	9.829273e-5	5.638931e+1	8.866929e-2	5	7.155366e-6	4.034861e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1	CIRBP
Ensembl Genes	8859	ACTG1	9	1.526940e-7	2.832321e-3	3.147023e-4	1.147610e+1	7.842386e-1	9	6.328588e-5	7.262750e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1,E1,E1,E1,E1	ACTG1
Ensembl Genes	1102	TXNIP	10	2.090909e-7	3.878427e-3	3.878427e-4	2.513913e+1	2.386717e-1	6	1.926014e-5	4.841833e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1,E1	TXNIP
Ensembl Genes	4828	LYZ	11	9.299506e-7	1.724965e-2	1.568150e-3	1.415763e+1	4.944329e-1	7	3.989936e-5	5.648806e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1,E1,E1	LYZ
Ensembl Genes	15197	ANXA2R	12	1.146842e-6	2.127277e-2	1.772731e-3	7.709151e+0	1.297160e+0	10	1.046772e-4	8.069722e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	ANXA2R
Ensembl Genes	9278	MOB3A	13	2.009786e-6	3.727952e-2	2.867655e-3	2.560581e+1	1.952682e-1	5	1.575760e-5	4.034861e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1	MOB3A
Ensembl Genes	18576	PLEC	14	2.295239e-6	4.257439e-2	3.041028e-3	1.233089e+1	5.676801e-1	7	4.581021e-5	5.648806e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1,E1,E1	PLEC
Ensembl Genes	9249	C19orf24	15	2.413155e-6	4.476161e-2	2.984107e-3	4.504105e+1	8.880788e-2	4	7.166549e-6	3.227889e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1	C19orf24
Ensembl Genes	14280	NRROS	16	2.619622e-6	4.859137e-2	3.036961e-3	1.208274e+1	5.793387e-1	7	4.675102e-5	5.648806e-4	1	6.127554e-1	1.000000e+0	1.000000e+0	1.631973e+0	6.127554e-1	1	1	8.798170e-5	1.000000e+0	E1,E1,E1,E1,E1,E1,E1	NRROS
