# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0019843	rRNA binding	1	1.859922e-16	7.759595e-13	7.759595e-13	3.035272e+0	2.503895e+1	76	2.020573e-3	6.132989e-3	57	1.593818e-7	6.649409e-4	1.166563e-5	1.493670e+0	3.615257e+1	54	59	4.751012e-3	9.152542e-1	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	ANG,CIRBP,DDX21,DDX28,DIEXF,EEF2,ERAL1,ERI1,FASTKD2,FASTKD5,GLTSCR2,GTF3A,IMP4,KDM2B,MDM2,MRPL11,MRPL16,MRPL18,MRPL20,MRPS11,MRPS17,MRPS27,MRPS6,MRPS7,MTERFD1,MTERFD2,NOL12,NPM1,NSUN4,PTCD3,RNASEL,RPF1,RPF2,RPL11,RPL12,RPL23,RPL23A,RPL3,RPL37,RPL5,RPL8,RPL9,RPS11,RPS13,RPS14,RPS18,RPS3,RPS4X,RPS5,RPS9,RRS1,SBDS,TST,UTP23
GO Molecular Function	GO:0003735	structural constituent of ribosome	2	1.009340e-15	4.210966e-12	2.105483e-12	1.881369e+0	1.020533e+2	192	8.235421e-3	1.549387e-2	1	2.768897e-24	1.155184e-20	1.155184e-20	1.552364e+0	1.004919e+2	156	164	1.372515e-2	9.512195e-1	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	COA1,DAP3,ENSG00000249773,ENSG00000260342,ENSG00000262660,ENSG00000263809,ENSG00000273155,MRP63,MRPL1,MRPL10,MRPL11,MRPL12,MRPL13,MRPL14,MRPL15,MRPL16,MRPL17,MRPL18,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL23,MRPL27,MRPL3,MRPL30,MRPL32,MRPL33,MRPL34,MRPL35,MRPL36,MRPL37,MRPL4,MRPL41,MRPL42,MRPL46,MRPL47,MRPL49,MRPL51,MRPL52,MRPL55,MRPL9,MRPS11,MRPS12,MRPS14,MRPS15,MRPS16,MRPS17,MRPS18A,MRPS18B,MRPS18C,MRPS2,MRPS21,MRPS22,MRPS23,MRPS24,MRPS25,MRPS30,MRPS31,MRPS33,MRPS34,MRPS35,MRPS36,MRPS5,MRPS6,MRPS7,MRPS9,NDUFA7,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL17-C18orf32,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36A-HNRNPH2,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL7L1,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS17L,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,RSL24D1,UBA52
GO Molecular Function	GO:0051082	unfolded protein binding	3	1.654221e-13	6.901410e-10	2.300470e-10	2.084606e+0	5.948366e+1	124	4.800166e-3	1.000646e-2	44	3.281019e-8	1.368841e-4	3.111003e-6	1.398834e+0	6.433932e+1	90	105	7.918353e-3	8.571429e-1	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	AAMP,AFG3L2,AIP,BBS12,CALR,CALR3,CANX,CCDC115,CCT2,CCT3,CCT4,CCT5,CCT6A,CCT6B,CCT7,CCT8,CCT8L2,CDC37,CDC37L1,CHAF1A,CLN3,CLPX,CRYAA,DNAJA1,DNAJA2,DNAJA3,DNAJB1,DNAJB11,DNAJB2,DNAJB4,DNAJB5,DNAJB6,DNAJC4,DZIP3,ERLEC1,ERO1LB,FYCO1,GRPEL1,HEATR3,HSP90AA1,HSP90AB1,HSP90B1,HSPA1A,HSPA1B,HSPA1L,HSPA5,HSPA6,HSPA8,HSPA9,HSPB6,HSPD1,HSPE1,HTRA2,MDN1,MKKS,NAP1L4,NDUFAF1,NPM1,NUDC,NUDCD2,NUDCD3,PDRG1,PET100,PFDN1,PFDN2,PFDN4,PFDN5,PFDN6,PPIA,PPIB,PTGES3,RP2,RUVBL2,SCAP,SERPINH1,SHQ1,SIL1,SPG7,SRSF10,ST13,SYVN1,TAPBP,TCP1,TOMM20,TOR1A,TRAP1,TTC1,TUBB4B,UGGT1,UGGT2
GO Molecular Function	GO:0043021	ribonucleoprotein complex binding	4	7.671538e-11	3.200566e-7	8.001414e-8	1.784492e+0	8.237638e+1	147	6.647546e-3	1.186249e-2	19	5.879166e-14	2.452788e-10	1.290941e-11	1.503133e+0	6.985412e+1	105	114	9.238078e-3	9.210526e-1	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	ABCE1,BAG6,BOP1,C1QBP,C2orf47,CBX5,CD2BP2,CPEB2,CPEB3,CPEB4,CSNK2A1,CSNK2B,DDX3X,DDX5,DENR,DHX29,DHX9,EEF2,EEFSEC,EFTUD1,EIF2A,EIF2S1,EIF3K,EIF4A3,EIF4B,EIF4H,EIF5A,EIF6,ERAL1,ERI1,ETF1,EZH2,FMR1,GCN1L1,GEMIN5,GNB2L1,GTPBP6,HNRNPU,HSPA5,IFIH1,IGHMBP2,IMPACT,ITCH,LETM1,LETM2,LETMD1,MALSU1,MDM2,MRPS27,MRRF,MTIF2,MTIF3,MTOR,NAA15,NAA16,NMD3,NME1,NPM1,NVL,OXA1L,PELO,PHF6,PIM1,PPIH,PQBP1,PRMT5,PRMT7,PRPF31,PRPF6,PTCD3,RICTOR,RNASEL,RNF135,RPN2,RPSA,SBDS,SEC61A1,SEC61A2,SECISBP2,SECISBP2L,SLFN14,SMG5,SMG7,SNRNP70,SNRPA,SNRPB2,SNRPC,SNRPD1,SNRPD3,SRP19,SRP54,SRP68,SRP72,SRP9,SRPR,SRPRB,TIMM50,TOP2B,UHMK1,UNG,WIBG,YTHDF1,YTHDF3,ZC3H12A,ZNF593
GO Molecular Function	GO:0031492	nucleosomal DNA binding	5	1.522534e-10	6.352012e-7	1.270402e-7	2.267868e+0	3.395260e+1	77	2.739881e-3	6.213686e-3	64	6.846861e-7	2.856510e-3	4.463298e-5	1.525540e+0	2.818675e+1	43	46	3.783213e-3	9.347826e-1	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	ACTB,ACTL6A,CHD4,GATAD2B,H1FOO,H2AFY,H2AFZ,H3F3A,H3F3B,H3F3C,HDAC1,HDAC2,HIST1H3A,HIST1H3B,HIST1H3C,HIST1H3D,HIST1H3E,HIST1H3F,HIST1H3G,HIST1H3H,HIST1H3I,HIST1H3J,HIST2H3A,HIST2H3C,HIST2H3PS2,HMGA2,HMGN1,HMGN2,HMGN3,HMGN4,HMGN5,HNRNPC,MBD2,MBD3,MTA2,RBBP4,RCC1,SMARCA4,SMARCB1,SMARCC1,SMARCC2,SMARCD2,SMARCE1
GO Molecular Function	GO:0070182	DNA polymerase binding	6	2.897671e-10	1.208908e-6	2.014847e-7	4.089168e+0	7.336455e+0	30	5.920316e-4	2.420917e-3	225	4.376375e-3	1.000000e+0	8.114772e-2	1.529974e+0	9.804086e+0	15	16	1.319725e-3	9.375000e-1	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	ACD,FANCD2,FANCI,HMGB1,HSP90AA1,HSP90AB1,LONP1,NABP2,NAT10,PCNA,PTGES3,RAD51,SMARCA4,SMG5,SMG6
GO Molecular Function	GO:0008565	protein transporter activity	7	3.059979e-10	1.276623e-6	1.823747e-7	1.754594e+0	8.264021e+1	145	6.668836e-3	1.170110e-2	45	4.831133e-8	2.015549e-4	4.478997e-6	1.410976e+0	5.882452e+1	83	96	7.302481e-3	8.645833e-1	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	AP1B1,AP1G1,AP1S2,AP2A1,AP2A2,AP2B1,AP2S1,AP3S1,AP3S2,AP4B1,AP4S1,ARFGAP3,AZGP1,C11orf73,CALCRL,CCT6B,CHMP7,COG2,COG3,COX18,CSE1L,DSCR3,EIF4ENIF1,IPO11,IPO13,IPO5,IPO7,IPO8,IPO9,ITGB1BP1,KPNA1,KPNA2,KPNA3,KPNA4,KPNA5,KPNA6,KPNB1,MCL1,MLC1,NUP214,NUPL2,RAB4A,RAMP3,RANBP6,RANGRF,RAP1A,RUFY1,SEC61B,SEC61G,SEC62,SEC63,SNUPN,TFRC,TIMM10,TIMM13,TIMM17A,TIMM17B,TIMM22,TIMM23,TIMM23B,TIMM9,TMCO6,TNPO1,TNPO2,TNPO3,TOMM20,TOMM22,TOMM40,TOMM5,TOMM7,TOMM70A,TSNAX,USO1,VPS26A,VPS26B,VPS29,VPS35,XPO1,XPO4,XPO5,XPO6,XPO7,ZFYVE16
GO Molecular Function	GO:0042288	MHC class I protein binding	8	3.413605e-9	1.424156e-5	1.780195e-6	4.631393e+0	4.966108e+0	23	4.007512e-4	1.856036e-3	214	2.832867e-3	1.000000e+0	5.522767e-2	1.535974e+0	1.041684e+1	16	17	1.407707e-3	9.411765e-1	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	ATP5A1,ATP5B,BCAP31,CD8A,CD8B,DERL1,KLRK1,LILRB1,LILRB2,PILRA,PILRB,TAP1,TAPBP,TUBB,TUBB4B,VCP
GO Molecular Function	GO:0042605	peptide antigen binding	9	6.010924e-9	2.507757e-5	2.786397e-6	3.484313e+0	8.897020e+0	31	7.179648e-4	2.501614e-3	1303	4.172778e-1	1.000000e+0	1.000000e+0	1.087982e+0	1.102960e+1	12	18	1.055780e-3	6.666667e-1	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	CLEC4M,HLA-B,HLA-DPB1,HLA-DQA1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-F,HLA-G,MAML1,TAP1,TAPBP
GO Molecular Function	GO:0034062	5'-3' RNA polymerase activity	10	3.165692e-8	1.320727e-4	1.320727e-5	2.289546e+0	2.445900e+1	56	1.973773e-3	4.519045e-3	70	1.603427e-6	6.689497e-3	9.556425e-5	1.520702e+0	2.696124e+1	41	44	3.607250e-3	9.318182e-1	E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1	CD3EAP,CRCP,ENSG00000228049,MED20,MED21,POLR1A,POLR1B,POLR1C,POLR1D,POLR1E,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2J2,POLR2J3,POLR2K,POLR2L,POLR2M,POLR3A,POLR3B,POLR3C,POLR3D,POLR3E,POLR3F,POLR3GL,POLR3H,POLR3K,PRIM1,PRIM2,PRIMPOL,RPAP1,TRNT1,TWISTNB,ZNRD1
