# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
ATP5A1	E1 (-301), E1 (+6199)
ATP5B	E1 (-38502), E1 (+198)
BCAP31	E1 (-951), E1 (+49)
CD8A	E1 (-28981)
CD8B	E1 (+24538)
DERL1	E1 (+263), E1 (+123563)
KLRK1	E1 (+25117)
LILRB1	E1 (+292)
LILRB2	E1 (+639)
PILRA	E1 (-14968), E1 (+532)
PILRB	E1 (+163), E1 (+22363)
TAP1	E1 (+55)
TAPBP	E1 (-3811), E1 (+289)
TUBB	E1 (-2978), E1 (+622)
TUBB4B	E1 (-565), E1 (+235)
VCP	E1 (+1046)

