"";"gs_name";"gs_id";"gs_cat";"gs_subcat";"human_gene_symbol";"species_name";"entrez_gene";"gene_symbol";"sources"
"1";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"AATK";"Homo sapiens";9625;"AATK";NA
"2";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ABT1";"Homo sapiens";29777;"ABT1";NA
"3";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ACRBP";"Homo sapiens";84519;"ACRBP";NA
"4";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ACVRL1";"Homo sapiens";94;"ACVRL1";NA
"5";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ADGRG3";"Homo sapiens";222487;"ADGRG3";NA
"6";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"AFP";"Homo sapiens";174;"AFP";NA
"7";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"AGRP";"Homo sapiens";181;"AGRP";NA
"8";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"AHCY";"Homo sapiens";191;"AHCY";NA
"9";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ANXA10";"Homo sapiens";11199;"ANXA10";NA
"10";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"AOAH";"Homo sapiens";313;"AOAH";NA
"11";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"APEX1";"Homo sapiens";328;"APEX1";NA
"12";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ARID3B";"Homo sapiens";10620;"ARID3B";NA
"13";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ARL4A";"Homo sapiens";10124;"ARL4A";NA
"14";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ARL4C";"Homo sapiens";10123;"ARL4C";NA
"15";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ASGR1";"Homo sapiens";432;"ASGR1";NA
"16";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"BANF1";"Homo sapiens";8815;"BANF1";NA
"17";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"BBS9";"Homo sapiens";27241;"BBS9";NA
"18";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"BEX4";"Homo sapiens";56271;"BEX4";NA
"19";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"BMP1";"Homo sapiens";649;"BMP1";NA
"20";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"BRK1";"Homo sapiens";55845;"BRK1";NA
"21";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"BZW2";"Homo sapiens";28969;"BZW2";NA
"22";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"C15orf39";"Homo sapiens";56905;"C15orf39";NA
"23";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"C1orf52";"Homo sapiens";148423;"C1orf52";NA
"24";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"C6orf136";"Homo sapiens";221545;"C6orf136";NA
"25";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CA4";"Homo sapiens";762;"CA4";NA
"26";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CA6";"Homo sapiens";765;"CA6";NA
"27";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CACNA2D3";"Homo sapiens";55799;"CACNA2D3";NA
"28";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CCR7";"Homo sapiens";1236;"CCR7";NA
"29";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CD2";"Homo sapiens";914;"CD2";NA
"30";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CDH16";"Homo sapiens";1014;"CDH16";NA
"31";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CHST3";"Homo sapiens";9469;"CHST3";NA
"32";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CILP2";"Homo sapiens";148113;"CILP2";NA
"33";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CNN3";"Homo sapiens";1266;"CNN3";NA
"34";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"COPS2";"Homo sapiens";9318;"COPS2";NA
"35";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CRADD";"Homo sapiens";8738;"CRADD";NA
"36";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CRNKL1";"Homo sapiens";51340;"CRNKL1";NA
"37";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CRYBG1";"Homo sapiens";202;"CRYBG1";NA
"38";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CRYM";"Homo sapiens";1428;"CRYM";NA
"39";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CTNND2";"Homo sapiens";1501;"CTNND2";NA
"40";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CTPS1";"Homo sapiens";1503;"CTPS1";NA
"41";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CTSE";"Homo sapiens";1510;"CTSE";NA
"42";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DAB1";"Homo sapiens";1600;"DAB1";NA
"43";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DAP";"Homo sapiens";1611;"DAP";NA
"44";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DDX3Y";"Homo sapiens";8653;"DDX3Y";NA
"45";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DMGDH";"Homo sapiens";29958;"DMGDH";NA
"46";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DNTT";"Homo sapiens";1791;"DNTT";NA
"47";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DOLPP1";"Homo sapiens";57171;"DOLPP1";NA
"48";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DPCD";"Homo sapiens";25911;"DPCD";NA
"49";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DPH5";"Homo sapiens";51611;"DPH5";NA
"50";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DRAP1";"Homo sapiens";10589;"DRAP1";NA
"51";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"E2F3";"Homo sapiens";1871;"E2F3";NA
"52";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"EFNA1";"Homo sapiens";1942;"EFNA1";NA
"53";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"EFNA2";"Homo sapiens";1943;"EFNA2";NA
