DB 2 MOTIF	NFIL3_HUMAN.H11MO.0.D
 -94.5	85.5
 -93.5	72.5
 -92.5	73.5
 -91.5	84
 -90.5	57
 -89.5	78
 -88.5	88.5
 -87.5	90
 -86.5	75.5
 -85.5	94.5
 -84.5	72
 -83.5	73.5
 -82.5	83
 -81.5	65
 -80.5	84
 -79.5	65
 -78.5	86
 -77.5	73
 -76.5	80
 -75.5	82
 -74.5	71.5
 -73.5	76.5
 -72.5	80
 -71.5	93
 -70.5	63
 -69.5	81
 -68.5	74
 -67.5	61
 -66.5	74
 -65.5	83.5
 -64.5	61
 -63.5	76.5
 -62.5	71.5
 -61.5	62.5
 -60.5	65
 -59.5	71.5
 -58.5	81.5
 -57.5	66.5
 -56.5	80.5
 -55.5	77.5
 -54.5	64.5
 -53.5	65
 -52.5	90
 -51.5	67
 -50.5	97.5
 -49.5	81.5
 -48.5	73.5
 -47.5	59.5
 -46.5	76.5
 -45.5	76
 -44.5	78.5
 -43.5	74
 -42.5	71.5
 -41.5	74
 -40.5	61.5
 -39.5	77.5
 -38.5	70.5
 -37.5	79.5
 -36.5	84.5
 -35.5	86
 -34.5	92.5
 -33.5	73
 -32.5	68
 -31.5	81.5
 -30.5	56
 -29.5	81.3333
 -28.5	77
 -27.5	71
 -26.5	78.5
 -25.5	86.5
 -24.5	76.5
 -23.5	58
 -22.5	76
 -21.5	68.3333
 -20.5	63.5
 -19.5	81
 -18.5	71.5
 -17.5	70
 -16.5	90.5
 -15.5	77.5
 -14.5	72
 -13.5	70
 -12.5	92.5
 -11.5	71
 -10.5	64
  -9.5	72
  -8.5	79
  -7.5	59.5
  -6.5	61
  -5.5	85.5
  -4.5	66.8333
  -3.5	73.8333
  -2.5	80.5
  -1.5	80.5
  -0.5	92
   0.5	90
   1.5	105
   2.5	72.5
   3.5	72.5
   4.5	63.5
   5.5	62
   6.5	66
   7.5	71.5
   8.5	56
   9.5	64
  10.5	77.5
  11.5	89
  12.5	69
  13.5	71
  14.5	67
  15.5	71.8333
  16.5	79.5
  17.5	81.5
  18.5	76.5
  19.5	67.5
  20.5	73.5
  21.5	64
  22.5	89
  23.5	63
  24.5	89
  25.5	79
  26.5	82
  27.5	60
  28.5	65
  29.5	88
  30.5	70.5
  31.5	74
  32.5	67
  33.5	73
  34.5	64
  35.5	57.5
  36.5	78
  37.5	70
  38.5	84
  39.5	68.5
  40.5	74.5
  41.5	74
  42.5	80.5
  43.5	74.5
  44.5	66
  45.5	69.5
  46.5	65.5
  47.5	83
  48.5	73
  49.5	88
  50.5	67.5
  51.5	62.5
  52.5	71.8333
  53.5	81
  54.5	82.5
  55.5	78.5
  56.5	73
  57.5	82
  58.5	61
  59.5	90
  60.5	62
  61.5	85
  62.5	91
  63.5	58.5
  64.5	66.5
  65.5	72
  66.5	75
  67.5	74
  68.5	70
  69.5	70.5
  70.5	93
  71.5	69.5
  72.5	69
  73.5	74.5
  74.5	74
  75.5	76
  76.5	87.5
  77.5	73
  78.5	80.5
  79.5	74
  80.5	67
  81.5	55
  82.5	71
  83.5	76
  84.5	77
  85.5	67
  86.5	85.5
  87.5	62.5
  88.5	73.5
  89.5	65.5
  90.5	76.5
  91.5	79
  92.5	63.5
  93.5	90
  94.5	71
